transaction_id,customer_name,customer_email,customer_location,merchant,transaction_amount,transaction_purpose,card_type,fraud_score,is_fraudulent
6c446bc8-8c94-4be8-974f-53e5e5325140,Taylor Fuentes,solomonvalerie@yahoo.com,Victoriaberg,Adidas Outlet,2042.51,Online Purchase,Discover,85.02,0
364cb0b4-33db-4060-9d18-b217351da421,Patrick Bernard,jeremiahgibson@hotmail.com,New Devinstad,Starbucks,1239.33,Online Purchase,American Express,71.04,0
61e0974a-7c36-4a61-85c9-2a123bdc8a03,Stephanie Krueger,gruiz@allen.com,Haydenfurt,Target,2721.53,Gym Membership,Visa,3.89,0
3118adfb-e812-477f-af09-b433a4f4055c,Johnny Joseph,hmartinez@long.org,North Jackie,Spotify,1210.66,Clothing Purchase,Discover,20.5,0
f9bc317d-aede-44b4-b179-3b07095c9e1c,Olivia King,jhuynh@hotmail.com,North Christinaborough,PayPal Transfer,3276.3,Electronics Purchase,American Express,68.23,0
0f56f0b3-c862-4fa0-bfb8-cef774ea3f00,Amber Phillips,finleywayne@hotmail.com,Josephville,Walmart,3773.89,Gym Membership,Visa,52.8,0
31263c59-c753-46b5-9021-67e0bf894685,Barbara Nielsen,otaylor@ramsey-key.net,Kellyborough,Adidas Outlet,1340.43,Online Purchase,American Express,83.26,0
df50ef2b-feb3-4a4a-910a-0125388ca2e4,Curtis Hall,gainesjared@gmail.com,South Jaclyn,Adidas Outlet,1591.98,Food Delivery,Discover,78.73,0
afe4b262-5e46-4cdb-a776-30b04a1165c4,Sarah Lopez,fernandezpatrick@hunt.com,New Deniseburgh,Nike Store,3989.22,Streaming Subscription,MasterCard,91.56,0
7624f448-70c9-4d34-96fb-d531b01a6fe6,Emily Perkins,leah37@spence.com,Parsonsstad,Nike Store,3756.03,Car Rental,MasterCard,43.2,0
2e5bf524-dd72-45d3-bb95-480a81c59598,Kelly Foster,aallison@villanueva.com,North Oscarstad,Nike Store,2016.13,Electronics Purchase,Visa,80.15,0
79468806-3bfd-4fae-af35-ba5f98f4abb4,Cassie Kemp,ymercer@yahoo.com,Elizabethborough,Netflix,1857.16,Clothing Purchase,MasterCard,10.15,0
6e5c2d2f-16c4-4adf-8f9e-f4432fc03a91,Pedro George,eallen@hotmail.com,Murphyburgh,Spotify,4462.62,Gym Membership,Visa,29.38,0
2a0ab60d-8be2-4836-a461-1979157e0035,Crystal Cummings,jsolis@hotmail.com,Lake Jennifer,Uber Eats,3905.55,Car Rental,American Express,70.2,1
e3bebf21-8ea0-4b35-b5a5-7328d8ac7f1b,Stephen Young,nmccormick@gmail.com,Port Mirandafurt,Tesla Supercharger,59.36,Car Rental,Visa,86.64,0
c8da16f1-81c6-4f5b-8227-201984fd4f53,Samantha Wood,cohenjorge@edwards-newton.com,West Brittany,McDonald's,4280.11,Gym Membership,MasterCard,37.77,0
6adc15a8-7739-4b76-8395-10b77334b9d4,Nathaniel Hubbard,riosralph@yahoo.com,South Elizabeth,Netflix,4088.78,Clothing Purchase,Discover,5.52,0
4464c43c-f65a-4545-b852-f59a1ff92256,Dakota White,ybush@torres.org,Guzmanmouth,Tesla Supercharger,3294.54,Online Purchase,MasterCard,86.06,1
86d47b1d-56e4-4764-8d23-f192cd9e16c7,Lisa Evans,yhood@yahoo.com,Laurashire,Best Buy,1147.21,Online Purchase,MasterCard,38.09,0
cd480719-4a81-417b-92dd-15010a271f4d,Christopher Powers,harperheather@jordan.net,Lake Jordanville,Walmart,4523.89,Bill Payment,Visa,34.02,0
34e06662-d173-4ddf-8d42-c4208b62d567,Matthew Bradley,riverajames@martinez-kim.com,New Kimberly,Adidas Outlet,1874.79,Car Rental,Visa,15.73,0
f94e853c-8fc7-4e50-ae09-62348fb6e677,Bradley Vega,katrinarodriguez@saunders.com,Wilkinsfort,McDonald's,3324.98,Grocery Shopping,American Express,93.08,0
3a185923-04f0-413f-90a1-4cd4372b6a4b,Kevin Villanueva,megan98@atkinson.com,Port Josephside,Best Buy,788.75,Bill Payment,Discover,59.24,0
